,date_x,adidasrv,date_m1,nikerv,mnth,date_y,nikegt,adidasgt,pumagt,year
0,2004-03-31,2028.0,2004-02-29,2904,2004-03,2004-03-01,44,20,14,2004
1,2004-06-30,1696.0,2004-05-31,3487,2004-06,2004-06-01,48,21,14,2004
2,2004-09-30,2388.0,2004-08-31,3562,2004-09,2004-09-01,44,19,14,2004
3,2004-12-31,1860.0,2004-11-30,3148,2004-12,2004-12-01,46,19,13,2004
4,2005-03-31,2333.0,2005-02-28,3308,2005-03,2005-03-01,50,25,15,2005
5,2005-06-30,1912.0,2005-05-31,3721,2005-06,2005-06-01,46,21,13,2005
6,2005-09-30,2347.0,2005-08-31,3862,2005-09,2005-09-01,43,22,14,2005
7,2005-12-31,1810.0,2005-11-30,3475,2005-12,2005-12-01,47,22,14,2005
8,2006-03-31,2958.0,2006-02-28,3613,2006-03,2006-03-01,50,23,15,2006
9,2006-06-30,3050.0,2006-05-31,4005,2006-06,2006-06-01,57,32,17,2006
10,2006-09-30,3763.0,2006-08-31,4194,2006-09,2006-09-01,47,22,14,2006
11,2006-12-31,2900.0,2006-11-30,3822,2006-12,2006-12-01,45,20,14,2006
12,2007-03-31,3325.0,2007-02-28,3927,2007-03,2007-03-01,42,21,13,2007
13,2007-06-30,3235.0,2007-05-31,4383,2007-06,2007-06-01,41,20,13,2007
14,2007-09-30,4041.0,2007-08-31,4655,2007-09,2007-09-01,45,22,13,2007
15,2007-12-31,3505.0,2007-11-30,4340,2007-12,2007-12-01,44,22,13,2007
16,2008-03-31,3925.0,2008-02-29,4544,2008-03,2008-03-01,45,22,13,2008
17,2008-06-30,3940.0,2008-05-31,5088,2008-06,2008-06-01,46,24,13,2008
18,2008-09-30,4646.0,2008-08-31,5432,2008-09,2008-09-01,45,23,13,2008
19,2008-12-31,3395.0,2008-11-30,4590,2008-12,2008-12-01,47,22,12,2008
20,2009-03-31,3430.0,2009-02-28,4441,2009-03,2009-03-01,47,23,12,2009
21,2009-06-30,3346.0,2009-05-31,4713,2009-06,2009-06-01,44,23,11,2009
22,2009-09-30,4127.0,2009-08-31,4799,2009-09,2009-09-01,46,24,12,2009
23,2009-12-31,3523.0,2009-11-30,4405,2009-12,2009-12-01,47,24,11,2009
24,2010-03-31,3534.0,2010-02-28,4733,2010-03,2010-03-01,46,25,11,2010
25,2010-06-30,3722.0,2010-05-31,5077,2010-06,2010-06-01,47,29,11,2010
26,2010-09-30,4868.0,2010-08-31,5175,2010-09,2010-09-01,47,25,10,2010
27,2010-12-31,4049.0,2010-11-30,4842,2010-12,2010-12-01,48,26,10,2010
28,2011-03-31,4858.0,2011-02-28,5079,2011-03,2011-03-01,47,26,9,2011
29,2011-06-30,4360.0,2011-05-31,5021,2011-06,2011-06-01,45,24,9,2011
30,2011-09-30,5301.0,2011-08-31,6081,2011-09,2011-09-01,50,26,9,2011
31,2011-12-31,4297.0,2011-11-30,5546,2011-12,2011-12-01,52,28,9,2011
32,2012-03-31,5013.0,2012-02-29,5656,2012-03,2012-03-01,55,27,9,2012
33,2012-06-30,4326.0,2012-05-31,6048,2012-06,2012-06-01,54,28,9,2012
34,2012-09-30,5222.0,2012-08-31,6474,2012-09,2012-09-01,56,28,9,2012
35,2012-12-31,4333.0,2012-11-30,5955,2012-12,2012-12-01,58,26,8,2012
36,2013-03-31,4904.0,2013-02-28,6187,2013-03,2013-03-01,58,27,9,2013
37,2013-06-30,4502.0,2013-05-31,6697,2013-06,2013-06-01,56,25,9,2013
38,2013-09-30,5194.0,2013-08-31,6971,2013-09,2013-09-01,60,27,8,2013
39,2013-12-31,4781.0,2013-11-30,6431,2013-12,2013-12-01,68,28,9,2013
40,2014-03-31,4902.0,2014-02-28,6972,2014-03,2014-03-01,75,30,9,2014
41,2014-06-30,4631.0,2014-05-31,7425,2014-06,2014-06-01,76,32,10,2014
42,2014-09-30,5464.0,2014-08-31,7982,2014-09,2014-09-01,72,32,9,2014
43,2014-12-31,3985.0,2014-11-30,7380,2014-12,2014-12-01,81,34,9,2014
44,2015-03-31,4532.0,2015-02-28,7460,2015-03,2015-03-01,83,38,9,2015
45,2015-06-30,4321.0,2015-05-31,7779,2015-06,2015-06-01,77,39,9,2015
46,2015-09-30,5294.0,2015-08-31,8414,2015-09,2015-09-01,77,43,9,2015
47,2015-12-31,4636.0,2015-11-30,7686,2015-12,2015-12-01,89,50,11,2015
48,2016-03-31,5261.0,2016-02-29,8032,2016-03,2016-03-01,85,57,11,2016
49,2016-06-30,4995.0,2016-05-31,8244,2016-06,2016-06-01,79,56,11,2016
50,2016-09-30,6041.0,2016-08-31,9061,2016-09,2016-09-01,76,56,14,2016
51,2016-12-31,5050.0,2016-11-30,8180,2016-12,2016-12-01,85,63,14,2016
52,2017-03-31,6044.0,2017-02-28,8432,2017-03,2017-03-01,80,60,16,2017
53,2017-06-30,5541.0,2017-05-31,8677,2017-06,2017-06-01,70,54,12,2017
54,2017-09-30,6672.0,2017-08-31,9070,2017-09,2017-09-01,77,53,12,2017
55,2017-12-31,5726.0,2017-11-30,8554,2017-12,2017-12-01,87,62,12,2017
56,2018-03-31,6820.0,2018-02-28,8984,2018-03,2018-03-01,79,54,13,2018
57,2018-06-30,6274.0,2018-05-31,9789,2018-06,2018-06-01,76,54,12,2018
58,2018-09-30,6829.0,2018-08-31,9948,2018-09,2018-09-01,100,52,12,2018
59,2018-12-31,5959.0,2018-11-30,9374,2018-12,2018-12-01,92,54,13,2018
60,2019-03-31,6682.0,2019-02-28,9611,2019-03,2019-03-01,86,52,13,2019
61,2019-06-30,6192.0,2019-05-31,10184,2019-06,2019-06-01,80,50,12,2019
