date,nike,adidas,puma
2019-01-04,35,16,11
2019-02-04,38,17,11
2019-03-04,44,20,13
2019-04-04,51,20,15
2019-05-04,47,20,14
2019-06-04,48,21,13
2019-07-04,47,20,13
2019-08-04,47,22,14
2019-09-04,43,19,14
2019-10-04,44,18,12
2019-11-04,45,19,12
2019-12-04,46,19,13
2019-01-05,42,18,12
2019-02-05,50,20,13
2019-03-05,49,25,15
2019-04-05,51,24,15
2019-05-05,49,22,14
2019-06-05,46,21,13
2019-07-05,45,21,14
2019-08-05,47,25,15
2019-09-05,42,21,14
2019-10-05,44,20,13
2019-11-05,48,22,13
2019-12-05,47,22,14
2019-01-06,41,20,13
2019-02-06,46,21,14
2019-03-06,50,23,14
2019-04-06,64,27,16
2019-05-06,62,27,15
2019-06-06,57,32,17
2019-07-06,48,26,17
2019-08-06,49,23,16
2019-09-06,47,21,14
2019-10-06,44,19,14
2019-11-06,43,19,13
2019-12-06,45,20,14
2019-01-07,39,18,12
2019-02-07,39,19,12
2019-03-07,42,21,13
2019-04-07,43,22,15
2019-05-07,41,21,14
2019-06-07,41,21,13
2019-07-07,42,22,14
2019-08-07,44,22,14
2019-09-07,45,22,13
2019-10-07,41,20,13
2019-11-07,40,20,12
2019-12-07,44,22,13
2019-01-08,40,19,12
2019-02-08,43,20,13
2019-03-08,45,22,13
2019-04-08,45,23,13
2019-05-08,46,22,13
2019-06-08,47,24,13
2019-07-08,45,22,13
2019-08-08,50,24,15
2019-09-08,44,23,13
2019-10-08,41,20,11
2019-11-08,43,21,11
2019-12-08,47,22,12
2019-01-09,41,20,11
2019-02-09,42,21,11
2019-03-09,47,23,12
2019-04-09,46,24,14
2019-05-09,45,23,12
2019-06-09,44,23,11
2019-07-09,45,22,11
2019-08-09,48,24,12
2019-09-09,46,24,12
2019-10-09,44,22,11
2019-11-09,44,23,10
2019-12-09,47,24,11
2019-01-10,42,22,10
2019-02-10,44,22,10
2019-03-10,47,25,11
2019-04-10,47,26,11
2019-05-10,48,26,11
2019-06-10,48,29,11
2019-07-10,46,26,10
2019-08-10,49,26,11
2019-09-10,47,25,10
2019-10-10,45,24,9
2019-11-10,47,24,10
2019-12-10,48,26,10
2019-01-11,45,23,9
2019-02-11,46,23,9
2019-03-11,47,26,9
2019-04-11,50,26,10
2019-05-11,46,24,9
2019-06-11,45,24,9
2019-07-11,46,26,9
2019-08-11,49,27,10
2019-09-11,50,26,9
2019-10-11,47,25,9
2019-11-11,47,26,9
2019-12-11,52,27,9
2019-01-12,48,25,8
2019-02-12,53,25,8
2019-03-12,55,27,9
2019-04-12,58,28,9
2019-05-12,51,26,9
2019-06-12,54,28,9
2019-07-12,56,27,9
2019-08-12,63,29,10
2019-09-12,57,29,9
2019-10-12,51,25,8
2019-11-12,52,24,8
2019-12-12,58,26,8
2019-01-13,55,24,8
2019-02-13,54,23,8
2019-03-13,58,27,9
2019-04-13,59,27,8
2019-05-13,57,26,9
2019-06-13,56,25,9
2019-07-13,57,26,9
2019-08-13,63,28,9
2019-09-13,60,27,8
2019-10-13,57,26,8
2019-11-13,62,27,8
2019-12-13,68,28,9
2019-01-14,64,26,8
2019-02-14,69,27,8
2019-03-14,76,30,9
2019-04-14,75,30,9
2019-05-14,73,29,9
2019-06-14,77,33,10
2019-07-14,74,36,10
2019-08-14,78,33,10
2019-09-14,72,32,9
2019-10-14,68,30,9
2019-11-14,73,32,9
2019-12-14,80,34,9
2019-01-15,75,32,8
2019-02-15,74,36,8
2019-03-15,82,38,9
2019-04-15,80,41,9
2019-05-15,78,38,9
2019-06-15,77,39,9
2019-07-15,76,39,9
2019-08-15,84,44,9
2019-09-15,77,43,9
2019-10-15,77,41,9
2019-11-15,83,44,10
2019-12-15,89,50,11
2019-01-16,79,48,9
2019-02-16,81,52,10
2019-03-16,85,57,11
2019-04-16,84,57,12
2019-05-16,80,54,11
2019-06-16,79,55,11
2019-07-16,77,55,11
2019-08-16,81,58,13
2019-09-16,77,56,14
2019-10-16,73,54,12
2019-11-16,81,59,12
2019-12-16,84,64,14
2019-01-17,72,54,12
2019-02-17,71,56,12
2019-03-17,79,60,16
2019-04-17,77,59,14
2019-05-17,70,52,12
2019-06-17,69,53,12
2019-07-17,75,55,12
2019-08-17,80,58,13
2019-09-17,77,53,12
2019-10-17,74,51,11
2019-11-17,85,61,12
2019-12-17,87,62,12
2019-01-18,74,53,12
2019-02-18,75,50,12
2019-03-18,79,54,13
2019-04-18,78,56,13
2019-05-18,73,50,12
2019-06-18,77,54,12
2019-07-18,80,56,12
2019-08-18,82,53,12
2019-09-18,100,52,12
2019-10-18,73,47,12
2019-11-18,88,56,13
2019-12-18,91,53,13
2019-01-19,78,48,13
2019-02-19,80,47,13
2019-03-19,84,52,13
2019-04-19,83,49,13
2019-05-19,80,48,13
2019-06-19,80,50,12
2019-07-19,87,50,13
2019-08-19,90,53,13
2019-09-19,85,49,13
2019-10-19,82,45,12
