date,value,datea,value
2004-03-31,2028,2004-02-29,2904
2004-06-30,1696,2004-05-31,3487
2004-09-30,2388,2004-08-31,3562
2004-12-31,1860,2004-11-30,3148
2005-03-31,2333,2005-02-28,3308
2005-06-30,1912,2005-05-31,3721
2005-09-30,2347,2005-08-31,3862
2005-12-31,1810,2005-11-30,3475
2006-03-31,2958,2006-02-28,3613
2006-06-30,3050,2006-05-31,4005
2006-09-30,3763,2006-08-31,4194
2006-12-31,2900,2006-11-30,3822
2007-03-31,3325,2007-02-28,3927
2007-06-30,3235,2007-05-31,4383
2007-09-30,4041,2007-08-31,4655
2007-12-31,3505,2007-11-30,4340
2008-03-31,3925,2008-02-29,4544
2008-06-30,3940,2008-05-31,5088
2008-09-30,4646,2008-08-31,5432
2008-12-31,3395,2008-11-30,4590
2009-03-31,3430,2009-02-28,4441
2009-06-30,3346,2009-05-31,4713
2009-09-30,4127,2009-08-31,4799
2009-12-31,3523,2009-11-30,4405
2010-03-31,3534,2010-02-28,4733
2010-06-30,3722,2010-05-31,5077
2010-09-30,4868,2010-08-31,5175
2010-12-31,4049,2010-11-30,4842
2011-03-31,4858,2011-02-28,5079
2011-06-30,4360,2011-05-31,5021
2011-09-30,5301,2011-08-31,6081
2011-12-31,4297,2011-11-30,5546
2012-03-31,5013,2012-02-29,5656
2012-06-30,4326,2012-05-31,6048
2012-09-30,5222,2012-08-31,6474
2012-12-31,4333,2012-11-30,5955
2013-03-31,4904,2013-02-28,6187
2013-06-30,4502,2013-05-31,6697
2013-09-30,5194,2013-08-31,6971
2013-12-31,4781,2013-11-30,6431
2014-03-31,4902,2014-02-28,6972
2014-06-30,4631,2014-05-31,7425
2014-09-30,5464,2014-08-31,7982
2014-12-31,3985,2014-11-30,7380
2015-03-31,4532,2015-02-28,7460
2015-06-30,4321,2015-05-31,7779
2015-09-30,5294,2015-08-31,8414
2015-12-31,4636,2015-11-30,7686
2016-03-31,5261,2016-02-29,8032
2016-06-30,4995,2016-05-31,8244
2016-09-30,6041,2016-08-31,9061
2016-12-31,5050,2016-11-30,8180
2017-03-31,6044,2017-02-28,8432
2017-06-30,5541,2017-05-31,8677
2017-09-30,6672,2017-08-31,9070
2017-12-31,5726,2017-11-30,8554
2018-03-31,6820,2018-02-28,8984
2018-06-30,6274,2018-05-31,9789
2018-09-30,6829,2018-08-31,9948
2018-12-31,5959,2018-11-30,9374
2019-03-31,6682,2019-02-28,9611
2019-06-30,6192,2019-05-31,10184
2019-09-30,,2019-08-31,10660
